cam_id,frame_id,timestamp,obj_class,confidence
0,217,25-08-2025 15:40:15,person,0.73
1,218,25-08-2025 15:40:15,person,0.90
0,220,25-08-2025 15:40:16,person,0.83
1,221,25-08-2025 15:40:16,person,0.89
0,223,25-08-2025 15:40:16,person,0.82
0,226,25-08-2025 15:40:16,person,0.78
1,224,25-08-2025 15:40:16,person,0.89
0,229,25-08-2025 15:40:16,person,0.77
1,227,25-08-2025 15:40:16,person,0.88
1,230,25-08-2025 15:40:17,person,0.88
0,232,25-08-2025 15:40:17,person,0.78
1,233,25-08-2025 15:40:17,person,0.89
0,235,25-08-2025 15:40:17,person,0.76
1,236,25-08-2025 15:40:17,person,0.88
0,238,25-08-2025 15:40:17,person,0.77
1,239,25-08-2025 15:40:18,person,0.88
0,241,25-08-2025 15:40:18,person,0.71
1,242,25-08-2025 15:40:18,person,0.89
0,244,25-08-2025 15:40:18,person,0.71
1,245,25-08-2025 15:40:18,person,0.89
0,247,25-08-2025 15:40:18,person,0.71
